iter	Passed	Remaining
156	4975	26717
157	5000	26648
158	5023	26572
159	5054	26536
160	5080	26476
161	5108	26426
162	5134	26366
163	5158	26295
164	5189	26260
165	5219	26222
166	5259	26234
167	5284	26170
168	5311	26118
169	5337	26058
170	5363	26001
171	5389	25943
172	5414	25882
173	5450	25873
174	5473	25805
175	5498	25740
176	5523	25681
177	5555	25654
178	5587	25626
179	5616	25584
180	5644	25542
181	5674	25503
182	5702	25458
183	5749	25495
184	5790	25511
185	5816	25454
186	5846	25417
187	5871	25360
188	5896	25302
189	5928	25273
190	5957	25233
191	5980	25168
192	6007	25121
193	6039	25090
194	6064	25035
195	6101	25027
196	6127	24976
197	6157	24939
198	6192	24925
199	6226	24905
200	6252	24855
201	6284	24825
202	6308	24767
203	6337	24729
204	6370	24705
205	6394	24646
206	6430	24636
207	6457	24588
208	6494	24579
209	6519	24526
210	6543	24469
211	6568	24415
212	6593	24361
213	6627	24342
214	6650	24281
215	6675	24228
216	6699	24173
217	6722	24116
218	6753	24084
219	6776	24024
220	6810	24006
221	6838	23964
222	6870	23938
223	6899	23902
224	6927	23860
225	6950	23805
226	6980	23771
227	7012	23744
228	7043	23714
229	7069	23666
230	7095	23622
231	7119	23567
232	7144	23519
233	7170	23471
234	7194	23420
235	7225	23389
236	7249	23340
237	7274	23290
238	7300	23246
239	7324	23195
240	7351	23152
241	7374	23098
242	7406	23074
243	7430	23022
244	7453	22969
245	7480	22927
246	7504	22877
247	7528	22827
248	7555	22786
249	7585	22755
250	7614	22723
251	7638	22673
252	7665	22633
253	7690	22585
254	7714	22538
255	7742	22501
256	7766	22453
257	7794	22416
258	7816	22363
259	7839	22312
260	7865	22269
261	7889	22221
262	7913	22174
263	7936	22124
264	7960	22079
265	7987	22040
266	8010	21991
267	8037	21951
268	8060	21903
269	8085	21860
270	8111	21820
271	8147	21807
272	8174	21769
273	8201	21731
274	8226	21687
275	8250	21643
276	8275	21600
277	8298	21552
278	8326	21517
279	8350	21471
280	8373	21426
281	8397	21379
282	8420	21333
283	8443	21287
284	8469	21246
285	8494	21205
286	8529	21190
287	8559	21160
288	8588	21128
289	8619	21101
290	8646	21066
291	8669	21020
292	8697	20986
293	8730	20965
294	8763	20942
295	8786	20897
296	8809	20851
297	8831	20804
298	8859	20770
299	8884	20731
300	8919	20714
301	8942	20668
302	8967	20627
303	8990	20584
304	9014	20540
305	9037	20497
306	9061	20454
307	9085	20413
308	9112	20378
309	9142	20348
310	9171	20318
311	9195	20277
312	9223	20245
313	9246	20200
314	9278	20176
315	9306	20144
316	9335	20114
317	9360	20074
318	9384	20033
319	9407	19989
320	9429	19946
321	9456	19910
322	9484	19880
323	9507	19837
324	9531	19796
325	9556	19757
326	9579	19714
327	9601	19671
328	9624	19629
329	9651	19595
330	9677	19559
331	9699	19516
332	9722	19474
333	9746	19434
334	9769	19393
335	9792	19352
336	9815	19310
337	9843	19278
338	9865	19236
339	9888	19195
340	9911	19154
341	9934	19114
342	9958	19074
343	9980	19033
344	10004	18993
345	10033	18964
346	10058	18928
347	10081	18888
348	10104	18847
349	10127	18807
350	10150	18768
351	10173	18728
352	10196	18689
353	10220	18650
354	10248	18621
355	10271	18581
356	10294	18541
357	10317	18501
358	10340	18462
359	10363	18423
360	10386	18384
361	10409	18345
362	10433	18309
363	10459	18275
364	10482	18237
365	10507	18201
366	10530	18163
367	10553	18125
368	10576	18085
369	10599	18047
370	10626	18015
371	10649	17978
372	10672	17939
373	10694	17901
374	10718	17863
375	10741	17826
376	10764	17788
377	10788	17751
378	10817	17724
379	10840	17686
380	10863	17649
381	10887	17613
382	10911	17577
383	10934	17540
384	10958	17504
385	10980	17466
386	11004	17431
387	11034	17404
388	11059	17370
389	11082	17334
390	11108	17301
391	11131	17265
392	11158	17235
393	11182	17199
394	11205	17162
395	11232	17132
396	11259	17101
397	11282	17064
398	11305	17029
399	11328	16992
400	11351	16956
401	11374	16920
402	11403	16892
403	11426	16856
404	11450	16821
405	11473	16786
406	11498	16753
407	11521	16717
408	11545	16683
409	11568	16647
410	11596	16619
411	11620	16584
412	11645	16551
413	11668	16516
414	11691	16480
415	11714	16445
416	11737	16409
417	11760	16374
418	11789	16347
419	11812	16312
420	11834	16276
421	11857	16241
422	11880	16206
423	11903	16171
424	11926	16136
425	11950	16102
426	11977	16072
427	12003	16041
428	12026	16007
429	12049	15972
430	12072	15938
431	12096	15904
432	12119	15869
433	12141	15834
434	12168	15804
435	12192	15772
436	12216	15738
437	12239	15704
438	12264	15672
439	12287	15638
440	12311	15605
441	12335	15573
442	12361	15542
443	12387	15512
444	12412	15480
445	12436	15447
446	12462	15418
447	12486	15384
448	12509	15351
449	12534	15319
450	12561	15290
451	12584	15257
452	12607	15223
453	12630	15190
454	12653	15156
455	12676	15123
456	12699	15089
457	12722	15055
458	12751	15029
459	12774	14996
460	12797	14962
461	12820	14928
462	12842	14895
463	12865	14861
464	12887	14827
465	12911	14796
466	12934	14762
467	12962	14735
468	12985	14702
469	13009	14670
470	13032	14637
471	13056	14605
472	13079	14573
473	13102	14539
474	13125	14507
475	13153	14479
476	13177	14448
477	13200	14415
478	13222	14381
479	13244	14348
480	13267	14315
481	13290	14282
482	13312	14249
483	13337	14219
484	13363	14189
485	13385	14157
486	13408	14124
487	13431	14092
488	13454	14060
489	13480	14030
490	13503	13998
491	13534	13974
492	13558	13943
493	13582	13912
494	13606	13881
495	13631	13851
496	13654	13819
497	13678	13788
498	13704	13759
499	13728	13728
500	13751	13696
501	13775	13665
502	13797	13633
503	13821	13602
504	13844	13570
505	13868	13539
506	13892	13509
507	13920	13481
508	13943	13450
509	13965	13417
510	13989	13386
511	14012	13355
512	14035	13324
513	14059	13293
514	14084	13264
515	14109	13234
516	14131	13202
517	14154	13170
518	14177	13139
519	14199	13107
520	14222	13075
521	14244	13043
522	14270	13015
523	14295	12985
524	14318	12954
525	14341	12923
526	14363	12892
527	14386	12860
528	14409	12829
529	14432	12798
530	14458	12770
531	14483	12740
532	14506	12710
533	14529	12679
534	14552	12648
535	14574	12617
536	14597	12586
537	14620	12555
538	14648	12528
539	14674	12500
540	14698	12470
541	14720	12439
542	14747	12411
543	14770	12381
544	14797	12353
545	14820	12323
546	14849	12297
547	14875	12269
548	14897	12238
549	14920	12207
550	14943	12177
551	14966	12146
552	14989	12116
553	15013	12086
554	15042	12060
555	15065	12030
556	15088	12000
557	15111	11969
558	15133	11939
559	15157	11909
560	15180	11879
561	15203	11849
562	15231	11822
563	15254	11792
564	15277	11762
565	15300	11731
566	15322	11701
567	15345	11671
568	15368	11641
569	15392	11611
570	15418	11584
571	15443	11555
572	15466	11525
573	15489	11495
574	15512	11465
575	15535	11435
576	15558	11405
577	15580	11375
578	15607	11348
579	15631	11319
580	15654	11289
581	15677	11259
582	15699	11229
583	15722	11199
584	15745	11169
585	15768	11140
586	15795	11113
587	15818	11083
588	15841	11053
589	15864	11024
590	15889	10996
591	15915	10968
592	15940	10940
593	15965	10912
594	15992	10885
595	16017	10857
596	16044	10830
597	16068	10801
598	16091	10772
599	16114	10743
600	16137	10713
601	16160	10684
602	16190	10659
603	16213	10629
604	16235	10600
605	16258	10570
606	16281	10541
607	16305	10512
608	16328	10483
609	16352	10454
610	16380	10428
611	16404	10400
612	16426	10370
613	16449	10341
614	16472	10312
615	16495	10282
616	16518	10253
617	16541	10224
618	16570	10199
619	16593	10170
620	16617	10141
621	16641	10113
622	16665	10084
623	16687	10055
624	16713	10027
625	16736	9998
626	16759	9970
627	16786	9943
628	16813	9916
629	16837	9888
630	16860	9859
631	16883	9830
632	16906	9801
633	16929	9773
634	16952	9744
635	16978	9716
636	17002	9689
637	17025	9660
638	17048	9631
639	17073	9603
640	17098	9576
641	17124	9549
642	17148	9521
643	17177	9495
644	17202	9468
645	17227	9440
646	17249	9411
647	17273	9382
648	17296	9354
649	17319	9325
650	17344	9298
651	17371	9272
652	17395	9243
653	17418	9215
654	17442	9187
655	17465	9158
656	17488	9129
657	17510	9101
658	17532	9072
659	17562	9047
660	17585	9018
661	17608	8990
662	17631	8961
663	17653	8933
664	17676	8904
665	17699	8876
666	17722	8848
667	17749	8821
668	17772	8793
669	17794	8764
670	17818	8736
671	17840	8707
672	17863	8679
673	17885	8650
674	17908	8622
675	17932	8595
676	17958	8568
677	17981	8539
678	18003	8511
679	18027	8483
680	18050	8455
681	18073	8427
682	18095	8398
683	18121	8371
684	18145	8344
685	18168	8316
686	18193	8289
687	18218	8261
688	18241	8233
689	18265	8206
690	18289	8178
691	18320	8154
692	18344	8126
693	18367	8098
694	18394	8072
695	18418	8044
696	18441	8016
697	18465	7989
698	18500	7966
699	18524	7939
700	18568	7920
701	18600	7895
702	18630	7870
703	18659	7845
704	18683	7817
705	18709	7791
706	18733	7763
707	18770	7741
708	18800	7716
709	18838	7694
710	18865	7668
711	18892	7641
712	18920	7615
713	18944	7588
714	18968	7560
715	18992	7533
716	19016	7505
717	19039	7478
718	19063	7450
719	19090	7424
720	19114	7396
721	19138	7369
722	19161	7341
723	19184	7313
724	19208	7285
725	19234	7259
726	19264	7234
727	19303	7212
728	19332	7186
729	19365	7162
730	19394	7137
731	19421	7110
732	19446	7083
733	19479	7059
734	19503	7031
735	19529	7005
736	19555	6978
737	19578	6950
738	19606	6924
739	19629	6896
740	19665	6873
741	19691	6846
742	19714	6819
743	19739	6792
744	19763	6764
745	19788	6737
746	19817	6711
747	19844	6685
748	19875	6660
749	19900	6633
750	19925	6606
751	19933	6573
752	19956	6546
753	19984	6520
754	20012	6494
755	20042	6468
756	20067	6441
757	20093	6414
758	20122	6389
759	20145	6361
760	20171	6335
761	20195	6307
762	20224	6282
763	20252	6256
764	20281	6230
765	20304	6202
766	20331	6176
767	20354	6148
768	20384	6123
769	20416	6098
770	20445	6072
771	20468	6045
772	20501	6020
773	20526	5993
774	20555	5967
775	20583	5941
776	20615	5916
777	20643	5890
778	20679	5866
779	20713	5842
780	20738	5815
781	20776	5791
782	20823	5770
783	20856	5746
784	20880	5718
785	20907	5692
786	20931	5665
787	20960	5639
788	20994	5614
789	21022	5588
790	21056	5563
791	21087	5538
792	21114	5511
793	21140	5484
794	21163	5457
795	21203	5434
796	21234	5408
797	21258	5381
798	21285	5354
799	21313	5328
800	21341	5302
801	21369	5275
802	21400	5250
803	21427	5223
804	21463	5199
805	21489	5172
806	21514	5145
807	21542	5118
808	21568	5092
809	21600	5066
810	21626	5040
811	21649	5012
812	21674	4985
813	21702	4959
814	21726	4931
815	21755	4905
816	21794	4881
817	21833	4857
818	21860	4831
819	21890	4805
820	21922	4779
821	21948	4752
822	21974	4726
823	21999	4698
824	22023	4671
825	22048	4644
826	22074	4617
827	22099	4590
828	22125	4563
829	22157	4538
830	22181	4511
831	22212	4485
832	22237	4458
833	22261	4430
834	22284	4403
835	22308	4376
836	22335	4349
837	22365	4323
838	22389	4296
839	22418	4270
840	22442	4242
841	22466	4215
842	22493	4189
843	22525	4163
844	22551	4136
845	22591	4112
846	22619	4085
847	22645	4059
848	22672	4032
849	22704	4006
850	22730	3979
851	22755	3952
852	22786	3926
853	22810	3899
854	22835	3872
855	22861	3845
856	22886	3818
857	22917	3792
858	22943	3766
859	22968	3739
860	22999	3713
861	23025	3686
862	23054	3659
863	23081	3633
864	23114	3607
865	23139	3580
866	23162	3553
867	23190	3526
868	23213	3499
869	23239	3472
870	23272	3446
871	23296	3419
872	23323	3393
873	23349	3366
874	23375	3339
875	23401	3312
876	23426	3285
877	23454	3259
878	23486	3233
879	23509	3205
880	23533	3178
881	23558	3151
882	23587	3125
883	23612	3098
884	23646	3072
885	23670	3045
886	23701	3019
887	23723	2992
888	23746	2965
889	23770	2937
890	23795	2910
891	23821	2884
892	23849	2857
893	23872	2830
894	23897	2803
895	23922	2776
896	23945	2749
897	23970	2722
898	23994	2695
899	24022	2669
900	24046	2642
901	24071	2615
902	24097	2588
903	24119	2561
904	24143	2534
905	24168	2507
906	24191	2480
907	24220	2454
908	24246	2427
909	24270	2400
910	24293	2373
911	24316	2346
912	24339	2319
913	24364	2292
914	24403	2266
915	24437	2240
916	24472	2215
917	24498	2188
918	24525	2161
919	24556	2135
920	24581	2108
921	24615	2082
922	24641	2055
923	24666	2028
924	24696	2002
925	24721	1975
926	24754	1949
927	24789	1923
928	24820	1896
929	24845	1870
930	24872	1843
931	24901	1816
932	24933	1790
933	24958	1763
934	24991	1737
935	25016	1710
936	25043	1683
937	25070	1657
938	25095	1630
939	25122	1603
940	25149	1576
941	25177	1550
942	25203	1523
943	25226	1496
944	25250	1469
945	25279	1443
946	25310	1416
947	25334	1389
948	25369	1363
949	25400	1336
950	25434	1310
951	25484	1284
952	25588	1261
953	25674	1237
954	25705	1211
955	25750	1185
956	25785	1158
957	25823	1132
958	25856	1105
959	25882	1078
960	25915	1051
961	25945	1024
962	25980	998
963	26011	971
964	26047	944
965	26080	917
966	26106	890
967	26132	863
968	26171	837
969	26204	810
970	26227	783
971	26252	756
972	26276	729
973	26302	702
974	26330	675
975	26352	648
976	26381	621
977	26407	594
978	26432	566
979	26455	539
980	26482	512
981	26515	486
982	26541	459
983	26581	432
984	26605	405
985	26632	378
986	26658	351
987	26683	324
988	26711	297
989	26757	270
990	26793	243
991	26824	216
992	26848	189
993	26871	162
994	26896	135
995	26924	108
996	26957	81
997	26980	54
998	27003	27
999	27026	0
