iter	Logloss
0	0.6873015873
1	0.6806180391
2	0.675593963
3	0.6694405574
4	0.6625550663
5	0.6572436577
6	0.6523802326
7	0.6473726525
8	0.6421919496
9	0.6368572771
10	0.6316383699
11	0.6272461237
12	0.6227675265
13	0.6178841095
14	0.6132567828
15	0.6082755355
16	0.6023237886
17	0.5978429733
18	0.594233344
19	0.5893801976
20	0.5853067274
21	0.5809858829
22	0.5766086825
23	0.5720307548
24	0.5666610432
25	0.5627801991
26	0.5570939073
27	0.5527791346
28	0.5479552326
29	0.5439337657
30	0.539551128
31	0.5355260814
32	0.5315810541
33	0.5269911281
34	0.5227925509
35	0.5192760374
36	0.515050047
37	0.5104867288
38	0.5070560233
39	0.5032211187
40	0.4994101439
41	0.4960827099
42	0.4921959794
43	0.4882375578
44	0.4851800963
45	0.4820060539
46	0.4789465852
47	0.4752622244
48	0.4724365812
49	0.4689579917
50	0.4661112588
51	0.4630353743
52	0.4595637814
53	0.4568662276
54	0.4539816681
55	0.4509311525
56	0.4480274601
57	0.4450877072
58	0.4415890844
59	0.4384477306
60	0.4355445971
61	0.4330812852
62	0.4302976218
63	0.4276991077
64	0.4242636486
65	0.4211391215
66	0.4182918566
67	0.415908314
68	0.413505293
69	0.4105795213
70	0.4078415387
71	0.4058900173
72	0.403116243
73	0.4008520622
74	0.39850346
75	0.396165371
76	0.3927897299
77	0.3898581991
78	0.387180154
79	0.3849035171
80	0.3823767951
81	0.3800225141
82	0.3779434446
83	0.375618733
84	0.3731692872
85	0.3710255365
86	0.3688652929
87	0.36728837
88	0.365270283
89	0.3635336124
90	0.3611612259
91	0.3590560713
92	0.3571637806
93	0.3548770763
94	0.3525197263
95	0.3508418253
96	0.3485286106
97	0.3468430593
98	0.3448241711
99	0.3428794561
100	0.3414439547
101	0.3396137994
102	0.3377690825
103	0.3356466478
104	0.3335047896
105	0.3315735591
106	0.3296545726
107	0.3278155399
108	0.3263582489
109	0.3250981043
110	0.3233973382
111	0.3213420217
112	0.3193831816
113	0.3180481712
114	0.3166855732
115	0.3148137574
116	0.3128524447
117	0.3109410497
118	0.3087717286
119	0.3076011818
120	0.30601677
121	0.3041576015
122	0.3027328787
123	0.3007119752
124	0.2993411403
125	0.2979221158
126	0.2966139518
127	0.2949667048
128	0.2931833699
129	0.2916037477
130	0.2900702249
131	0.2888019864
132	0.2873913146
133	0.2860383462
134	0.284781212
135	0.283356334
136	0.281921142
137	0.2809945707
138	0.2796268857
139	0.2784867115
140	0.2771849748
141	0.2759714886
142	0.2749166386
143	0.2733446444
144	0.2722284179
145	0.2713530406
146	0.2702611591
147	0.2691257507
148	0.2680485012
149	0.2669675431
150	0.2660251614
151	0.2646073234
152	0.2635394179
153	0.2624859127
154	0.2614498721
155	0.2605402464
156	0.259503857
157	0.2580342256
158	0.2571108249
159	0.2562851865
160	0.255357748
161	0.2541897808
162	0.2529447896
163	0.2518054466
164	0.2508767302
165	0.2495841777
166	0.2482283262
167	0.2473697568
168	0.2464249892
169	0.2457222152
170	0.2445720084
171	0.2436295241
172	0.2425811098
173	0.2411203071
174	0.2402785415
175	0.2395960164
176	0.2383597189
177	0.2374646905
178	0.236749703
179	0.2359640461
180	0.2349241725
181	0.234076127
182	0.2329395358
183	0.2320809377
184	0.2310688647
185	0.2304273074
186	0.2297572115
187	0.2288704025
188	0.2281623467
189	0.2274298614
190	0.2264825802
191	0.2257187627
192	0.224474193
193	0.2237627036
194	0.2226964731
195	0.2218701662
196	0.2212611301
197	0.2202606397
198	0.2194103453
199	0.2185735383
200	0.2177998305
